Player,Position,Previous Rank,September 4 Rank,Movement,Previous Tier,September 4 Tier
Jonathon Brooks,RB,70,68,+2,11,12
Jaylen Warren,RB,68,69,-1,11,12
Chris Godwin,WR,71,70,+1,11,12
Tucker Kraft,TE,72,71,+1,11,12
Marvin Harrison,WR,73,72,+1,11,12
Stefon Diggs,WR,74,73,+1,12,13
Rico Dowdle,RB,75,74,+1,12,13
Brian Thomas,WR,76,75,+1,12,13
Joe Burrow,QB,69,76,-7,11,13
DK Metcalf,WR,80,79,+1,13,14
Sam LaPorta,TE,83,80,+3,13,14
Alec Pierce,WR,108,81,+27,14,14
Jordan Mason,RB,86,82,+4,13,14
Justin Herbert,QB,84,83,+1,13,14
Caleb Williams,QB,85,84,+1,13,14
Josh Downs,WR,82,85,-3,13,14
Michael Pittman,WR,81,86,-5,13,14
Wan'Dale Robinson,WR,79,87,-8,13,14
Makai Lemon,WR,87,93,-6,13,15
Jayden Reed,WR,93,94,-1,13,15
George Kittle,TE,94,95,-1,14,15
Courtland Sutton,WR,95,97,-2,14,15
Blake Corum,RB,97,98,-1,14,15
Dalton Kincaid,TE,98,99,-1,14,15
KC Concepcion,WR,99,100,-1,14,15
De'Zhaun Stribling,WR,106,101,+5,14,15
Harold Fannin,TE,103,102,+1,14,15
Dak Prescott,QB,100,103,-3,14,15
Quentin Johnston,WR,101,104,-3,14,15
Matthew Golden,WR,107,105,+2,14,15
Kyle Pitts,TE,102,106,-4,14,15
JK Dobbins,RB,104,107,-3,14,15
Jacory Croskey-Merritt,RB,105,108,-3,14,15
Aaron Jones,RB,118,117,+1,15,16
Matthew Stafford,QB,119,118,+1,15,16
Malik Willis,QB,120,119,+1,15,16
Jared Goff,QB,121,120,+1,15,16
Isaiah Likely,TE,123,121,+2,15,16
Jakobi Meyers,WR,117,123,-6,15,16
Juwan Johnson,TE,136,135,+1,17,17
Jordyn Tyson,WR,135,136,-1,17,18
Denzel Boston,WR,143,142,+1,17,18
Mike Washington,RB,144,143,+1,17,18
Terrance Ferguson,TE,145,144,+1,18,18
Jake Ferguson,TE,146,145,+1,18,18
Kenyon Sadiq,TE,147,146,+1,18,18
Jalen McMillan,WR,142,147,-5,17,19
Ja'Kobi Lane,WR,157,152,+5,20,19
Dalton Schultz,TE,152,154,-2,20,20
Daniel Jones,QB,154,155,-1,20,20
Sam Darnold,QB,155,156,-1,20,20
Brenton Strange,TE,156,157,-1,20,20
Brian Robinson,RB,170,169,+1,21,21
Tre Tucker,WR,171,170,+1,21,21
Geno Smith,QB,172,171,+1,21,21
Greg Dulcich,TE,173,172,+1,21,21
Caleb Douglas,WR,174,173,+1,21,21
Omar Cooper,WR,175,174,+1,21,21
Jacoby Brissett,QB,176,175,+1,22,22
TJ Hockenson,TE,177,176,+1,22,22
Braelon Allen,RB,178,177,+1,22,22
Ray Davis,RB,179,178,+1,22,22
Kimani Vidal,RB,180,179,+1,22,22
Kaelon Black,RB,181,180,+1,22,22
Cyrus Allen,WR,169,181,-12,21,22
Rashod Bateman,WR,192,191,+1,23,23
AJ Barner,TE,193,192,+1,24,24
Zachariah Branch,WR,194,193,+1,24,24
Malik Washington,WR,195,194,+1,24,24
Chris Bell,WR,196,195,+1,24,24
Jalen Nailor,WR,197,196,+1,24,24
Isaac TeSlaa,WR,198,197,+1,24,24
Kaytron Allen,RB,199,198,+1,24,24
Germie Bernard,WR,200,199,+1,25,25
George Holani,RB,201,200,+1,25,25
Seth McGowan,RB,202,201,+1,25,25
Chris Brooks,RB,203,202,+1,25,25
Jauan Jennings,WR,204,203,+1,25,25
Calvin Ridley,WR,205,204,+1,25,25
Cade Otton,TE,206,205,+1,25,25
Evan Engram,TE,207,206,+1,25,25
Gunnar Helm,TE,208,207,+1,25,25
David Njoku,TE,209,208,+1,25,25
Jordan James,RB,210,209,+1,25,25
Michael Mayer,TE,211,210,+1,25,25
Oronde Gadsden,TE,212,211,+1,25,25
Ted Hurst,WR,213,212,+1,25,25
Jerry Jeudy,WR,214,213,+1,25,25
Malachi Fields,WR,215,214,+1,25,25
Travis Hunter,WR,216,215,+1,26,26
Colby Parkinson,TE,217,216,+1,26,26
Charlie Kolar,TE,218,217,+1,26,26
Michael Penix,QB,219,218,+1,26,26
Antonio Williams,WR,220,219,+1,26,26
Troy Franklin,WR,221,220,+1,26,26
Jalen Tolbert,WR,222,221,+1,26,26
Bryce Lance,WR,223,222,+1,26,26
Kyle Williams,WR,224,223,+1,27,27
Kaleb Johnson,RB,225,224,+1,27,27
Isaiah Davis,RB,226,225,+1,27,27
Fernando Mendoza,QB,227,226,+1,27,27
Justice Hill,RB,228,227,+1,27,27
James Conner,RB,229,228,+1,27,27
Tory Horton,WR,230,229,+1,27,27
Demario Douglas,WR,231,230,+1,27,27
Demond Claiborne,RB,232,231,+1,28,28
Xavier Hutchinson,WR,233,232,+1,28,28
Sean Tucker,RB,234,233,+1,28,28
Isiah Pacheco,RB,191,234,-43,23,28
